Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,Genre_Frequency,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
-1.2134898201003816,88036683.0,1,-0.33987752574556146,1.4545442511358593,0.04220589600422704,76336683.0,6.52450282051282,0.1104536489151873,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.1746373983293141,159157447.0,8,0.5998465423032942,1.4545442511358593,0.04220589600422704,145157447.0,10.368389071428572,0.009861932938856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-1.1070679691622403,358991681.0,11,0.10761012570627454,-0.2416387719378869,-0.208163993941455,340991681.0,18.943982277777778,0.0552268244575936,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-1.0732832545787032,121697323.0,2,-1.055857768068499,0.09759783267686235,-0.634577445450527,101697323.0,5.08486615,0.1854043392504931,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.9888214681198608,411006740.0,11,0.5103490120129269,-0.6939542447575533,-0.714425775159636,386006740.0,15.4402696,0.1499013806706114,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.9381443962445554,504050219.0,11,-1.2348528286492335,1.2283865147260271,0.0028088457099092272,476050219.0,17.001793535714285,0.1242603550295858,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.8874673243692499,90753806.0,3,-0.11613370001964346,-0.12855990373297083,-0.8416985383454628,59753806.0,1.927542129032258,0.1854043392504931,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.8874673243692499,231605150.0,5,-0.7873651771973975,-0.5808753765526362,-0.8096906180612101,200605150.0,6.4711338709677415,0.1854043392504931,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.8874673243692499,134095253.0,12,1.7633144360780677,1.2283865147260271,-0.30892543505850933,103095253.0,3.3256533225806453,0.1104536489151873,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.819897895202176,321731527.0,5,0.018112595415907345,-0.2416387719378869,-0.5939864489233839,286731527.0,8.192329342857143,0.1499013806706114,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
