Budget,Gross,Release Date,Runtime,Rating,Rating Count,Net Profit,ROI,MPAA Rating_G,MPAA Rating_PG,MPAA Rating_PG-13,MPAA Rating_R,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Comedy,Genre_Crime,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Mystery,Genre_Romance,Genre_Science Fiction,Genre_Thriller,Genre_War,Genre_Western
26000000.0,206678440.0,12,125.0,7.7,210109.0,180678440.0,6.949170769230769,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28000000.0,63000000.0,5,110.0,6.8,46467.0,35000000.0,1.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35100000.0,70200000.0,12,103.0,7.0,40509.0,35100000.0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38000000.0,266614059.0,4,117.0,5.9,58078.0,228614059.0,6.0161594473684215,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38000000.0,57319029.0,12,107.0,5.6,45380.0,19319029.0,0.5083955,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40000000.0,176997168.0,7,128.0,7.2,86650.0,136997168.0,3.4249292,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40000000.0,107198790.0,7,125.0,6.2,40088.0,67198790.0,1.67996975,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42000000.0,270248367.0,6,154.0,6.8,108683.0,228248367.0,5.434484928571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44000000.0,368875760.0,8,130.0,7.8,249811.0,324875760.0,7.38354,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45000000.0,195268056.0,12,141.0,6.6,71238.0,150268056.0,3.3392901333333334,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
57000000.0,159055768.0,10,115.0,6.7,148329.0,102055768.0,1.7904520701754385,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70000000.0,255000211.0,5,112.0,6.4,113299.0,185000211.0,2.642860157142857,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8000000.0,213928762.0,9,154.0,8.9,1690474.0,205928762.0,25.74109525,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15000000.0,107217396.0,2,86.0,6.9,260044.0,92217396.0,6.1478264,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16000000.0,247275374.0,12,107.0,7.3,334497.0,231275374.0,14.454710875,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22000000.0,189833357.0,11,97.0,6.4,86610.0,167833357.0,7.628788954545454,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23000000.0,351583407.0,7,101.0,6.9,320839.0,328583407.0,14.286235086956522,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30000000.0,350448145.0,6,116.0,7.2,309338.0,320448145.0,10.681604833333331,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000000.0,160638883.0,12,133.0,7.5,136361.0,130638883.0,4.354629433333334,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38000000.0,120000000.0,11,118.0,8.5,869127.0,82000000.0,2.1578947368421053,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45000000.0,788241776.0,6,89.0,8.5,869127.0,743241776.0,16.516483911111113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45000000.0,117615211.0,7,119.0,6.7,55788.0,72615211.0,1.6136713555555555,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
45000000.0,170362582.0,10,110.0,5.6,59371.0,125362582.0,2.785835155555556,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46000000.0,341631208.0,5,91.0,4.9,71389.0,295631208.0,6.426765391304348,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55000000.0,677945399.0,7,142.0,8.8,1657851.0,622945399.0,11.326279981818182,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55000000.0,196567262.0,10,121.0,7.1,167516.0,141567262.0,2.5739502181818184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
55000000.0,214015089.0,12,123.0,6.1,43455.0,159015089.0,2.891183436363636,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60000000.0,223664608.0,11,123.0,6.9,83296.0,163664608.0,2.7277434666666664,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62000000.0,215887717.0,8,141.0,6.9,83296.0,153887717.0,2.482059951612903,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
70000000.0,131000000.0,6,125.0,6.2,49903.0,61000000.0,0.8714285714285714,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
75000000.0,183000000.0,5,127.0,7.0,96405.0,108000000.0,1.44,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115000000.0,378882411.0,7,141.0,7.2,223671.0,263882411.0,2.2946296608695653,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17000000.0,182057016.0,4,103.0,6.7,85626.0,165057016.0,9.709236235294116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23000000.0,179519401.0,8,99.0,6.5,45479.0,156519401.0,6.805191347826087,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25000000.0,71500000.0,12,101.0,6.7,22759.0,46500000.0,1.86,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30000000.0,76578911.0,2,106.0,6.0,31971.0,46578911.0,1.5526303666666668,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30000000.0,373554033.0,10,81.0,8.3,820625.0,343554033.0,11.4518011,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30000000.0,212385533.0,11,90.0,6.4,191266.0,182385533.0,6.079517766666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
30250000.0,115101622.0,10,105.0,6.9,72078.0,84851622.0,2.805012297520661,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31000000.0,106269971.0,12,137.0,7.3,33906.0,75269971.0,2.428063580645161,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33000000.0,327311859.0,9,127.0,8.6,1323681.0,294311859.0,8.918541181818181,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50000000.0,287928194.0,5,100.0,6.1,110490.0,237928194.0,4.75856388,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50000000.0,152022101.0,6,109.0,5.2,39870.0,102022101.0,2.04044202,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
52000000.0,355237933.0,6,140.0,7.6,250975.0,303237933.0,5.831498711538462,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53000000.0,157387195.0,5,116.0,7.3,95145.0,104387195.0,1.969569716981132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55000000.0,346079773.0,6,81.0,6.7,156670.0,291079773.0,5.292359509090909,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58000000.0,352194034.0,11,130.0,7.2,226013.0,294194034.0,5.072310931034483,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65000000.0,262797249.0,12,104.0,7.0,277496.0,197797249.0,3.0430346,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72000000.0,210000000.0,5,177.0,8.3,907287.0,138000000.0,1.9166666666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90000000.0,366101666.0,5,128.0,5.4,224254.0,276101666.0,3.067796288888889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
100000000.0,336529144.0,6,121.0,5.4,224254.0,236529144.0,2.36529144,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175000000.0,264218220.0,7,135.0,6.2,169984.0,89218220.0,0.5098184,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14000000.0,173046663.0,12,111.0,7.2,267513.0,159046663.0,11.360475928571429,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26000000.0,116400000.0,9,102.0,6.4,39451.0,90400000.0,3.476923076923077,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27000000.0,231976425.0,11,162.0,7.4,168450.0,204976425.0,7.591719444444444,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31000000.0,185260553.0,3,117.0,7.1,74466.0,154260553.0,4.976146870967742,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32000000.0,152036382.0,7,123.0,6.4,71796.0,120036382.0,3.7511369375,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40000000.0,152266007.0,7,149.0,7.5,121642.0,112266007.0,2.806650175,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46000000.0,150000000.0,11,111.0,7.6,111959.0,104000000.0,2.260869565217391,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50000000.0,150270147.0,2,108.0,6.0,86863.0,100270147.0,2.00540294,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50000000.0,273552592.0,12,139.0,7.3,226489.0,223552592.0,4.47105184,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54000000.0,128769345.0,6,95.0,5.6,103475.0,74769345.0,1.3846175,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54000000.0,320689294.0,11,103.0,5.7,94582.0,266689294.0,4.93869062962963,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75000000.0,335062621.0,6,136.0,7.4,297268.0,260062621.0,3.4675016133333334,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75000000.0,816969268.0,6,145.0,7.0,503229.0,741969268.0,9.892923573333332,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000000.0,457696359.0,5,110.0,7.1,365266.0,377696359.0,4.7212044875,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80000000.0,309492681.0,11,117.0,6.6,112739.0,229492681.0,2.8686585125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
80000000.0,250200000.0,11,88.0,6.4,145336.0,170200000.0,2.1275,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92000000.0,494471524.0,5,113.0,6.4,164803.0,402471524.0,4.374690478260869,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100000000.0,100138851.0,6,91.0,6.9,130850.0,138851.0,0.00138851,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100000000.0,242295562.0,6,115.0,6.1,98473.0,142295562.0,1.42295562,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119700000.0,119718203.0,12,105.0,5.7,39051.0,18203.0,0.0001520718462823,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10000000.0,225933435.0,12,126.0,8.3,787732.0,215933435.0,21.5933435,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17000000.0,125586134.0,10,100.0,5.7,125924.0,108586134.0,6.387419647058824,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24000000.0,172363301.0,12,120.0,6.2,147635.0,148363301.0,6.181804208333333,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
